ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
408,1815000,12.1,15000000,44,92,0,1,260,10,1000000,5000,18
2587,3615000,36.1,10000000,26,80,0,0,295,36,1000000,10000,20
2527,965000,38.6,2500000,54,91,0,2,213,0,,,16
2385,6570000,65.7,10000000,140,89,20,13,249,0,,,39
1500,370000,37,1000000,23,90,14,1,177,12,101000,5000,29
651,2020000,202,1000000,55,92,11,1,282,0,,,25
235,6153000,307.6,2000000,67,85,11,0,650,0,,,18
497,2771677,277.1,1000000,229,89,20,1,620,4,30000,1000,21
1735,2138000,106.9,2000000,57,92,5,2,0,93,3390000,9000,26
1351,1365000,136.5,1000000,11,88,3,2,283,0,,,17
2520,1908000,95.4,2000000,84,90,3,1,163,190,500000,1000,28
2376,4892333,195.6,2500000,250,61,11,2,121,224,2500000,7000,46
2186,1678000,36.3,4611000,15,90,0,0,111,0,,,14
452,428000,21.4,2000000,32,92,0,1,325,3,11000,10000,21
658,240000,24,1000000,18,86,5,1,189,5,30000,10000,25
2175,3846000,192.3,2000000,282,50,20,1,111,62,165000,5500,28
2378,639000,21.3,3000000,83,38,0,0,555,66,40000,3000,18
667,60000,6,1000000,4,85,0,0,77,0,,,18
1951,1163000,35.4,3280000,104,90,0,1,337,236,3400000,3000,21
260,1010000,101,1000000,76,31,18,4,14,0,,,20
2116,2662000,1,250000000,187,90,0,4,182,362,920000,2000,112
2572,7082783,177,4000000,677,91,0,5,130,0,,,58
409,1359058,135.9,1000000,41,82,17,2,508,1,50000,50000,27
267,485000,4.8,10000000,8,59,0,0,447,0,,,24
431,10000,0.2,4000000,1,59,0,0,365,0,,,11
603,10923000,36.4,30000000,355,15,2,0,170,22,75000,8000,38
293,7972748,132.8,6000000,364,90,0,0,276,17,100000,5000,38
2575,1082000,90.1,1200000,61,91,10,1,0,3,50000,10000,32
635,1428181,10.2,14000000,51,92,0,1,250,0,,,25
2588,628000,62.8,1000000,81,90,20,2,240,3,10000,2000,27
1903,2562000,25.6,10000000,98,75,0,1,200,20,115000,10000,20
2315,936000,78,1200000,55,43,0,3,348,79,174000,5000,20
1590,289000,4.8,6000000,11,90,0,0,189,16,52000,12000,16
2543,383000,21.2,1800000,28,90,7,1,114,14,200000,3000,14
1332,1252000,125.2,1000000,22,91,3,0,0,0,,,19
1904,2024000,40.4,5000000,54,04,0,1,434,0,,,25
2782,1945000,194.5,1000000,51,31,4,3,545,22,335000,3000,21
269,730000,73,1000000,31,90,0,0,61,1,20000,20000,20
2120,1046777,104.6,1000000,38,51,0,0,305,13,33000,12000,18
2180,8874000,177.4,5000000,161,90,0,1,0,40,300000,6000,16
1537,930000,54.7,1700000,55,62,14,2,0,0,,,26
833,11449000,114.4,10000000,198,90,20,2,266,9,1040000,12000,17
692,532800,53.2,1000000,35,55,0,0,151,0,,,18
2379,4893000,97.8,5000000,190,84,0,0,45,1,100000,100000,11
454,20000,1,2000000,3,61,0,1,597,0,,,16
2341,2203000,100.1,2200000,124,84,0,1,237,3,200000,10000,18
2173,90000,4.5,2000000,6,91,0,0,275,5,10000,10000,23
2517,284000,7.1,4000000,18,91,0,4,159,21,59000,11000,23
1366,1003200,100.3,1000000,68,75,19,6,0,6,50000,5000,50
1968,572000,16,3564000,22,87,0,0,121,0,,,12
453,4864000,138.9,3500000,70,61,11,1,475,0,,,20
2377,593000,59.3,1000000,4,91,0,0,246,7,36000,16000,13
1350,289000,28.9,1000000,11,61,0,0,325,0,,,13
657,861000,4.3,20000000,22,92,0,0,165,159,1850000,6000,55
1165,1069310,53.4,2000000,59,67,17,2,452,0,,,21
1357,2280000,76,3000000,36,90,0,3,126,31,300000,10000,58
2142,1070500,107,1000000,63,25,3,0,88,90,100000,6000,16
